"country","UN_region","UN_subregion","year","record","crop_land","grazing_land","forest_land","fishing_ground","built_up_land","carbon","total","GDP","population","country.code"
"Armenia","Asia","Western Asia",1992,"BiocapPerCap",0.161128561,0.135023435,0.08383553,0.013717995,0.033668531,0,0.427374053,949.033,3449000,51
"Armenia","Asia","Western Asia",1992,"BiocapTotGHA",555812.9726,465763.3374,289190.6623,47320.22459,116139.5982,0,1474226.795,949.033,3449000,51
"Armenia","Asia","Western Asia",1992,"EFConsPerCap",0.390922543,0.189137286,1.25e-06,0.004137644,0.033668531,1.1122251,1.730092359,949.033,3449000,51
"Armenia","Asia","Western Asia",1992,"EFConsTotGHA",1348487.313,652429.0666,4.327840599,14272.80369,116139.5982,3836620.482,5967953.592,949.033,3449000,51
"Armenia","Asia","Western Asia",1993,"BiocapPerCap",0.159855152,0.138346368,0.085971577,0.014035166,0.031967594,0,0.430175856,886.033,3370000,51
"Armenia","Asia","Western Asia",1993,"BiocapTotGHA",538659.0959,466181.5956,289695.8367,47293.87727,107720.2388,0,1449550.644,886.033,3370000,51
"Armenia","Asia","Western Asia",1993,"EFConsPerCap",0.386610926,0.200749255,1.07e-05,0.003815861,0.031967594,0.535276774,1.158431104,886.033,3370000,51
"Armenia","Asia","Western Asia",1993,"EFConsTotGHA",1302751.21,676458.7257,36.03408258,12858.19116,107720.2388,1803706.047,3903530.447,886.033,3370000,51
"Armenia","Asia","Western Asia",1994,"BiocapPerCap",0.163497716,0.143905673,0.088096685,0.014348884,0.031475501,0,0.441324459,956.471,3290000,51
"Armenia","Asia","Western Asia",1994,"BiocapTotGHA",537897.6656,473441.0226,289832.8036,47206.96501,103552.507,0,1451930.964,956.471,3290000,51
"Armenia","Asia","Western Asia",1994,"EFConsPerCap",0.445494673,0.317447695,2.34e-05,0.003765935,0.031475501,0.317669342,1.115876509,956.471,3290000,51
"Armenia","Asia","Western Asia",1994,"EFConsTotGHA",1465650.72,1044383.852,76.86136159,12389.70089,103552.507,1045113.056,3671166.697,956.471,3290000,51
"Armenia","Asia","Western Asia",1995,"BiocapPerCap",0.1649966,0.156921536,0.089826861,0.014603586,0.03149735,0,0.457845933,1043.54,3223000,51
"Armenia","Asia","Western Asia",1995,"BiocapTotGHA",531812.0787,505784.7756,289527.2356,47069.84016,101521.3116,0,1475715.242,1043.54,3223000,51
"Armenia","Asia","Western Asia",1995,"EFConsPerCap",0.380362092,0.196215233,1.69e-05,0.003926228,0.03149735,0.416180121,1.028197898,1043.54,3223000,51
"Armenia","Asia","Western Asia",1995,"EFConsTotGHA",1225971.655,632435.0375,54.38584746,12654.89894,101521.3116,1341419.248,3314056.537,1043.54,3223000,51
"Armenia","Asia","Western Asia",1996,"BiocapPerCap",0.192977484,0.169790533,0.091377525,0.014813638,0.035410073,0,0.504369252,1121.88,3173000,51
"Armenia","Asia","Western Asia",1996,"BiocapTotGHA",612400.5242,538818.3582,289980.1739,47010.04117,112371.3847,0,1600580.482,1121.88,3173000,51
"Armenia","Asia","Western Asia",1996,"EFConsPerCap",0.441647711,0.22320462,2.23e-05,0.003030021,0.035410073,0.334685694,1.038000374,1121.88,3173000,51
"Armenia","Asia","Western Asia",1996,"EFConsTotGHA",1401538.065,708324.2224,70.6233421,9615.560349,112371.3847,1062101.6,3294021.456,1121.88,3173000,51
"Armenia","Asia","Western Asia",1997,"BiocapPerCap",0.154369499,0.178974194,0.092283247,0.014978303,0.028456344,0,0.469061587,1172.14,3138000,51
"Armenia","Asia","Western Asia",1997,"BiocapTotGHA",484357.4446,561558.3634,289552.5203,46996.66964,89286.04608,0,1471751.044,1172.14,3138000,51
"Armenia","Asia","Western Asia",1997,"EFConsPerCap",0.399043555,0.258338482,0.009432441,0.003456905,0.028456344,0.409646065,1.108373793,1172.14,3138000,51
"Armenia","Asia","Western Asia",1997,"EFConsTotGHA",1252058.972,810575.7136,29595.69613,10846.55892,89286.04608,1285325.937,3477688.924,1172.14,3138000,51
"Armenia","Asia","Western Asia",1998,"BiocapPerCap",0.194010546,0.18063999,0.092934903,0.015099607,0.03584213,0,0.518527175,1267.58,3113000,51
"Armenia","Asia","Western Asia",1998,"BiocapTotGHA",603947.0603,562325.0548,289302.6313,47004.47355,111575.1151,0,1614154.335,1267.58,3113000,51
"Armenia","Asia","Western Asia",1998,"EFConsPerCap",0.463829422,0.214603413,0.002063653,0.00477332,0.03584213,0.432528699,1.153640637,1267.58,3113000,51
"Armenia","Asia","Western Asia",1998,"EFConsTotGHA",1443882.421,668051.832,6424.069023,14859.15282,111575.1151,1346444.523,3591237.113,1267.58,3113000,51
"Armenia","Asia","Western Asia",1999,"BiocapPerCap",0.187179073,0.18181745,0.093338934,0.015198031,0.034719609,0,0.512253097,1317.74,3094000,51
"Armenia","Asia","Western Asia",1999,"BiocapTotGHA",579098.3712,562510.4761,288773.8681,47019.97283,107416.2226,0,1584818.911,1317.74,3094000,51
"Armenia","Asia","Western Asia",1999,"EFConsPerCap",0.38190109,0.200030293,0.002304861,0.006620833,0.034719609,0.520854495,1.146431181,1317.74,3094000,51
"Armenia","Asia","Western Asia",1999,"EFConsTotGHA",1181533.256,618857.7347,7130.826522,20483.66495,107416.2226,1611430.089,3546851.794,1317.74,3094000,51
"Armenia","Asia","Western Asia",2000,"BiocapPerCap",0.160493527,0.183081441,0.093794383,0.015303687,0.029599216,0,0.482272255,1404.32,3076000,51
"Armenia","Asia","Western Asia",2000,"BiocapTotGHA",493694.1555,563176.8392,288520.9103,47075.67379,91050.15164,0,1483517.731,1404.32,3076000,51
"Armenia","Asia","Western Asia",2000,"EFConsPerCap",0.409554237,0.199877197,0.014419794,0.008784789,0.029599216,0.482025,1.144260233,1404.32,3076000,51
"Armenia","Asia","Western Asia",2000,"EFConsTotGHA",1259829.829,614842.2641,44356.72972,27022.89105,91050.15164,1482757.15,3519859.015,1404.32,3076000,51
"Armenia","Asia","Western Asia",2001,"BiocapPerCap",0.214165895,0.184331955,0.094142934,0.015408217,0.03889309,0,0.546942092,1548.08,3060000,51
"Armenia","Asia","Western Asia",2001,"BiocapTotGHA",655356.2138,564063.1641,288081.1487,47149.76125,119014.4138,0,1673664.702,1548.08,3060000,51
"Armenia","Asia","Western Asia",2001,"EFConsPerCap",0.43405175,0.201980175,0.038790499,0.008355824,0.03889309,0.501806613,1.223877952,1548.08,3060000,51
"Armenia","Asia","Western Asia",2001,"EFConsTotGHA",1328215.733,618067.4233,118700.4807,25569.15737,119014.4138,1535548.327,3745115.535,1548.08,3060000,51
"Armenia","Asia","Western Asia",2002,"BiocapPerCap",0.228787961,0.199515814,0.094615221,0.015472947,0.041543374,0,0.579935317,1761.89,3047000,51
"Armenia","Asia","Western Asia",2002,"BiocapTotGHA",697174.1155,607974.5633,288316.2334,47149.93889,126593.0449,0,1767207.896,1761.89,3047000,51
"Armenia","Asia","Western Asia",2002,"EFConsPerCap",0.471507055,0.214577375,0.021938167,0.009802813,0.041543374,0.475678541,1.235047325,1761.89,3047000,51
"Armenia","Asia","Western Asia",2002,"EFConsTotGHA",1436799.874,653870.906,66851.07976,29871.62072,126593.0449,1449511.435,3763497.96,1761.89,3047000,51
"Armenia","Asia","Western Asia",2003,"BiocapPerCap",0.203766907,0.210374496,0.094526513,0.015456378,0.036644675,0,0.560768968,2019.98,3036000,51
"Armenia","Asia","Western Asia",2003,"BiocapTotGHA",618721.8953,638785.3098,287022.1879,46932.05263,111268.6207,0,1702730.066,2019.98,3036000,51
"Armenia","Asia","Western Asia",2003,"EFConsPerCap",0.430759694,0.228879767,0.027013976,0.008389843,0.036644675,0.535628171,1.267316127,2019.98,3036000,51
"Armenia","Asia","Western Asia",2003,"EFConsTotGHA",1307967.318,694975.0832,82025.77633,25475.08768,111268.6207,1626392.048,3848103.934,2019.98,3036000,51
"Armenia","Asia","Western Asia",2004,"BiocapPerCap",0.267807301,0.221818744,0.094684188,0.015482336,0.046950438,0,0.646743006,2244.22,3026000,51
"Armenia","Asia","Western Asia",2004,"BiocapTotGHA",810379.5319,671219.0778,286512.4582,46849.23741,142071.0843,0,1957031.39,2244.22,3026000,51
"Armenia","Asia","Western Asia",2004,"EFConsPerCap",0.531148633,0.238852269,0.03802096,0.010814474,0.046950438,0.57744377,1.443230544,2244.22,3026000,51
"Armenia","Asia","Western Asia",2004,"EFConsTotGHA",1607245.13,722762.1857,115050.6652,32724.38199,142071.0843,1747333.287,4367186.735,2244.22,3026000,51
"Armenia","Asia","Western Asia",2005,"BiocapPerCap",0.301457162,0.243728441,0.094845751,0.015465065,0.052656507,0,0.708152927,2571.99,3015000,51
"Armenia","Asia","Western Asia",2005,"BiocapTotGHA",908869.204,734821.7333,285952.3439,46625.93369,158755.1518,0,2135024.367,2571.99,3015000,51
"Armenia","Asia","Western Asia",2005,"EFConsPerCap",0.554170274,0.234447956,0.03517514,0.022381008,0.052656507,0.683763506,1.582594391,2571.99,3015000,51
"Armenia","Asia","Western Asia",2005,"EFConsTotGHA",1670779,706841.8118,106050.2295,67476.94782,158755.1518,2061492.216,4771395.357,2571.99,3015000,51
"Armenia","Asia","Western Asia",2006,"BiocapPerCap",0.229647846,0.278145284,0.095377822,0.015500018,0.040030823,0,0.658701794,2933.83,3002000,51
"Armenia","Asia","Western Asia",2006,"BiocapTotGHA",689439.5584,835036.6213,286339.4734,46533.53246,120178.933,0,1977528.119,2933.83,3002000,51
"Armenia","Asia","Western Asia",2006,"EFConsPerCap",0.477711752,0.256010559,0.058633273,0.011325138,0.040030823,0.743040136,1.586751681,2933.83,3002000,51
"Armenia","Asia","Western Asia",2006,"EFConsTotGHA",1434167.071,768584.6374,176026.4606,33999.87629,120178.933,2230725.309,4763682.287,2933.83,3002000,51
"Armenia","Asia","Western Asia",2007,"BiocapPerCap",0.324018989,0.277637753,0.095583683,0.015554943,0.055972442,0,0.76876781,3366.16,2988000,51
"Armenia","Asia","Western Asia",2007,"BiocapTotGHA",968207.6586,829614.9556,285615.5259,46480.03862,167252.3793,0,2297170.558,3366.16,2988000,51
"Armenia","Asia","Western Asia",2007,"EFConsPerCap",0.68046265,0.216165285,0.058757473,0.010561444,0.055972442,0.865227578,1.887146871,3366.16,2988000,51
"Armenia","Asia","Western Asia",2007,"EFConsTotGHA",2033304.134,645927.8365,175574.3864,31558.86254,167252.3793,2585403.931,5639021.53,3366.16,2988000,51
"Armenia","Asia","Western Asia",2008,"BiocapPerCap",0.313744686,0.279325568,0.095797613,0.015667111,0.054142045,0,0.758677023,3629.16,2975000,51
"Armenia","Asia","Western Asia",2008,"BiocapTotGHA",933399.8634,831001.9524,285000.7742,46610.12589,161074.2091,0,2257086.925,3629.16,2975000,51
"Armenia","Asia","Western Asia",2008,"EFConsPerCap",0.621013579,0.289642379,0.264267073,0.01292526,0.054142045,0.997572376,2.239562712,3629.16,2975000,51
"Armenia","Asia","Western Asia",2008,"EFConsTotGHA",1847534.046,861694.7742,786202.4785,38453.03561,161074.2091,2967807.776,6662766.319,3629.16,2975000,51
"Armenia","Asia","Western Asia",2009,"BiocapPerCap",0.302676298,0.281331307,0.095613213,0.015785954,0.052282691,0,0.747689462,3136.81,2966000,51
"Armenia","Asia","Western Asia",2009,"BiocapTotGHA",897771.2261,834459.6318,283599.3172,46822.87734,155076.217,0,2217729.269,3136.81,2966000,51
"Armenia","Asia","Western Asia",2009,"EFConsPerCap",0.599975451,0.23874076,0.250653206,0.011267658,0.052282691,0.786918537,1.939838303,3136.81,2966000,51
"Armenia","Asia","Western Asia",2009,"EFConsTotGHA",1779593.25,708131.3823,743465.0071,33421.11296,155076.217,2334087.028,5753773.996,3136.81,2966000,51
